ProdID,AirTemp,ProcTemp,Rotation,Torque,ToolWear,Failure
L49685,299.2,309.1,1387,48.7,4,0
L49688,299,308.9,1615,30.6,14,0
L49689,299,308.9,1511,35.9,16,0
L49690,299.1,309,1405,53.8,18,0
L49692,298.9,308.8,1530,38.3,23,0
L49693,299,308.7,1583,32.5,25,0
L49694,298.9,308.6,2069,18.7,27,0
L49695,298.8,308.5,1490,35,29,0
L49696,298.8,308.5,1736,29,31,0
L49697,298.8,308.5,1395,44.4,33,0
L49699,298.8,308.6,1631,32.4,38,0
L49700,298.8,308.6,1535,41.2,40,0
L49701,298.8,308.6,1584,34.4,42,0
L49703,298.8,308.7,1635,35.2,47,0
L49706,298.8,308.6,1501,35,55,0
L49707,298.8,308.5,1450,50.8,57,0
L49708,298.8,308.6,1730,25.9,59,0
L49710,298.9,308.7,1438,51.7,64,0
L49712,298.9,308.7,1389,44.9,69,0
L49713,298.8,308.7,1490,33.6,71,0
L49714,298.9,308.7,1729,26.6,73,0
L49715,299,308.8,1495,38.4,75,0
L49716,298.9,308.8,1281,53.9,77,0
L49718,299.1,308.8,1429,50.1,84,0
L49719,299.1,308.8,1413,42.1,86,0
L49720,299.1,308.8,1502,38.3,88,0
L49723,299.3,309,1786,23.5,100,0
L49724,299.2,309,1951,21.4,102,0
L49726,299.2,309.1,1605,34.3,107,0
L49727,299.2,309.1,1578,38.1,109,0
L49729,299.4,309.2,1489,42.3,114,0
L49730,299.4,309.3,1366,48.4,116,0
L49731,299.3,309.2,1541,37.2,118,0
L49733,299.3,309.1,1473,40.3,125,0
L49734,299.3,309.1,1531,37.9,127,0
L49735,299.3,309.2,1511,37.2,129,0
L49739,299.3,309,1447,50.4,140,0
L49741,299.4,309.2,1607,31.7,145,0
L49742,299.3,309.1,1551,39.1,147,0
L49743,299.3,309.1,1496,37.2,149,0
L49744,299.3,309.1,1493,38,151,0
L49745,299.4,309.1,1304,50.5,153,0
L49747,299.4,309.1,1766,24.6,158,0
L49748,299.6,309.2,1450,43.1,160,0
L49750,299.6,309.2,1713,26.5,167,0
L49753,299.5,309.2,1499,41.5,175,0
L49754,299.5,309.3,1972,19.3,177,0
L49755,299.5,309.3,1422,49.2,179,0
L49756,299.5,309.3,1523,41.5,181,0
L49757,299.5,309.4,1563,41.5,183,0
L49758,299.4,309.3,1391,46.6,185,0
L49759,299.3,309.1,1795,24.7,187,0
L49760,299.3,309.1,1293,53.7,189,0
L49761,299.2,309.1,1345,60.7,191,1
L49762,299.2,309,1615,33.7,193,0
L49763,299.2,308.9,1342,50.8,195,0
L49764,299.1,308.8,1502,46.7,197,0
L49766,299,308.7,1537,42.8,202,0
L49767,299,308.7,2248,16.8,204,0
L49768,299,308.7,1706,28.6,206,0
L49769,299,308.7,2250,16.6,208,0
L49770,299,308.7,1396,48.6,0,0
L49771,298.9,308.6,1522,46.4,2,0
L49772,298.9,308.6,1539,45.4,4,0
L49774,298.8,308.5,1446,37,11,0
L49776,299,308.7,1426,38.6,16,0
L49777,299,308.7,1449,38.9,18,0
L49778,299.1,308.8,1320,67.5,20,1
L49780,299.3,309,1422,47.3,25,0
L49781,299.3,309.1,1399,52.1,27,0
L49782,299.4,309.2,1427,41.5,29,0
L49785,299.4,309.2,1552,37.4,37,0
L49787,299.4,309.3,1448,48.6,44,0
L49788,299.5,309.3,1409,44.7,46,0
L49789,299.4,309.2,1621,34.5,48,0
L49791,299.4,309.1,1957,22.1,55,0
L49792,299.4,309.1,2421,14.2,57,0
L49794,299.3,309.1,1634,36.8,62,0
L49795,299.3,309,1516,38.7,64,0
L49796,299.4,309.1,1207,66.5,66,0
L49797,299.4,309.1,1670,35.9,68,0
L49799,299.4,309.2,1569,40.8,73,0
L49800,299.4,309.2,1556,35.7,75,0
L49805,299.7,309.4,1399,39.9,91,0
L49806,299.7,309.4,1650,29.8,93,0
L49809,300,309.7,1586,37.8,103,0
L49810,300,309.8,1372,39.6,105,0
L49813,300.1,309.8,1532,39.8,115,0
L49814,300,309.7,1554,32,117,0
L49816,299.9,309.6,1254,61.3,124,0
L49817,299.9,309.6,1294,49.7,126,0
L49818,299.8,309.5,1739,27.5,128,0
L49822,299.8,309.5,1542,40.3,141,0
L49824,299.8,309.4,1510,42.5,146,0
L49827,299.8,309.4,1408,45.6,156,0
L49828,299.8,309.4,1436,51.6,158,0
L49830,299.9,309.6,1280,59.3,163,0
L49831,299.9,309.5,2008,20.4,165,0
L49832,299.9,309.5,1772,23.5,167,0
L49833,299.9,309.5,1779,26.1,169,0
L49834,299.9,309.5,1567,35.5,171,0
L49836,299.9,309.5,1349,51.3,176,0
L49838,300,309.4,1395,44.5,181,0
L49840,299.8,309.3,1291,56.4,188,0
L49843,299.9,309.3,1620,31.1,196,0
L49845,299.8,309.4,2256,15.9,201,0
L49850,299.8,309.4,1467,46.2,219,0
L49852,299.7,309.3,1445,42.6,0,0
L49853,299.8,309.4,1480,40.9,2,0
L49854,299.7,309.3,1546,37.2,4,0
L49855,299.7,309.3,1574,35.8,6,0
L49856,299.7,309.3,1592,34.2,8,0
L49857,299.8,309.5,1495,39.6,10,0
L49858,299.8,309.6,1447,43.1,12,0
L49859,299.8,309.5,1476,44.4,14,0
L49860,299.8,309.5,1641,27.1,16,0
L49861,299.8,309.5,1545,32.2,18,0
L49863,299.8,309.5,1590,28.5,23,0
L49864,299.8,309.4,1460,37.4,25,0
L49865,299.8,309.4,1609,32.5,27,0
L49866,299.8,309.4,1633,27.5,29,0
L49867,299.9,309.4,1348,52.8,31,0
L49868,299.9,309.4,1322,53.9,33,0
L49869,300,309.5,1641,30.1,35,0
L49870,300,309.5,1728,26,37,0
L49871,300,309.6,1431,47.7,39,0
L49872,300.1,309.7,1641,30.4,41,0
L49875,300,309.5,1869,22.7,49,0
L49876,300,309.6,1452,46,51,0
L49877,300,309.6,1618,28.7,53,0
L49878,300,309.4,2010,20,55,0
L49879,299.9,309.4,1363,60.9,57,0
L49880,299.9,309.3,1473,40.4,59,0
L49881,299.9,309.2,1333,50.8,61,0
L49882,299.8,309.2,1760,25.9,63,0
L49885,299.7,309.2,1326,64.8,71,0
L49888,299.6,309.1,2266,15.3,79,0
L49889,299.6,309.1,1641,35.8,81,0
L49890,299.6,309.1,1574,39.2,83,0
L49891,299.6,309.1,1407,50.6,85,0
L49896,299.5,309,1498,44.6,101,0
L49898,299.5,309.1,1357,47.3,106,0
L49899,299.5,309.2,1690,29.2,108,0
L49900,299.6,309.2,1559,39.1,110,0
L49902,299.6,309.3,1558,34.8,115,0
L49903,299.7,309.4,1362,51.9,117,0
L49905,299.8,309.4,1555,34.8,122,0
L49907,299.7,309.3,1434,38.5,127,0
L49908,299.7,309.3,1779,25.5,129,0
L49909,299.7,309.3,1417,54.6,131,0
L49910,299.6,309.2,1425,45.9,133,0
L49912,299.7,309.2,1346,57.4,138,0
L49913,299.7,309.2,1422,40.4,140,0
L49915,299.7,309.2,1412,45.4,147,0
L49919,299.8,309.2,1572,35.4,158,0
L49920,299.6,309,1525,42.8,160,0
L49921,299.6,309,1378,51.9,162,0
L49922,299.6,309.1,1369,51.4,164,0
L49923,299.6,309.1,1476,45.3,166,0
L49924,299.7,309.2,1620,30,168,0
L49926,299.7,309.2,1411,46.1,173,0
L49927,299.7,309.2,1616,31.6,175,0
L49928,299.7,309.2,1631,35.1,177,0
L49931,299.7,309.1,1417,50.1,187,0
L49933,299.7,309.1,1715,27.8,192,0
L49935,299.7,309.2,1478,38.8,199,0
L49936,299.7,309.2,1781,29.6,201,0
L49937,299.8,309.2,1439,36.1,203,0
L49939,299.7,309.1,1483,41.1,208,0
L49940,299.8,309.2,1400,42.6,210,0
L49941,299.8,309.3,1299,65.1,212,1
L49942,299.8,309.2,1479,44.4,214,0
L49943,299.8,309.2,1491,47.5,216,0
L49947,300,309.5,1925,21.9,9,0
L49948,300,309.5,1675,30.2,11,0
L49950,300,309.6,1364,45.9,16,0
L49951,299.9,309.5,1451,39.4,18,0
L49952,299.9,309.4,1467,41.2,20,0
L49953,299.9,309.4,1858,22.5,22,0
L49954,300.1,309.4,1559,39.7,24,0
L49955,300.1,309.4,1560,47.7,26,0
L49956,300.1,309.4,1453,47.6,28,0
L49957,300.1,309.4,1464,41.7,30,0
L49958,300,309.4,1308,50.2,32,0
L49959,300.1,309.5,1353,50.9,34,0
L49961,300.2,309.5,2183,17.8,39,0
L49964,300.2,309.6,1430,52.7,47,0
L49965,300.2,309.5,1495,32.6,49,0
L49968,300.3,309.6,1326,52.4,57,0
L49970,300.4,309.6,1356,45.9,64,0
L49972,300.4,309.7,1584,32.6,71,0
L49973,300.3,309.6,1597,31.8,73,0
L49974,300.4,309.6,1553,43.9,75,0
L49976,300.2,309.5,1539,35.3,80,0
L49978,300.3,309.6,1568,39.6,85,0
L49979,300.3,309.6,1404,44.6,87,0
L49983,300.2,309.5,1343,50.2,98,0
L49984,300.1,309.5,1450,40.1,100,0
L49985,300,309.4,1460,43.5,102,0
L49986,300,309.3,1364,41.2,104,0
L49988,299.9,309.3,1471,41.8,109,0
L49989,299.9,309.2,1598,34.6,111,0
L49990,299.8,309.1,1772,24.8,113,0
L49991,299.9,309.2,1761,25.6,115,0
L49993,300,309.3,1887,22.6,120,0
L49994,300,309.3,1395,56.5,122,0
L49996,300.1,309.4,1434,47.3,127,0
L49997,300.2,309.5,1417,41.1,129,0
L49998,300.2,309.5,1729,28.4,131,0
L49999,300.2,309.5,1356,51.1,133,0
L50000,300.2,309.5,1436,48.8,135,0
L50002,300.3,309.6,1593,38.1,140,0
L50005,300.3,309.4,1470,33.5,148,0
L50007,300.4,309.4,1412,51.6,153,0
L50009,300.3,309.3,1612,36,158,0
L50013,300.3,309.2,1807,26.4,169,0
L50014,300.3,309.1,1368,46,171,0
L50015,300.3,309.2,1572,32,173,0
L50017,300.3,309.1,1699,30.3,178,0
L50018,300.3,309.3,1478,39.5,180,0
L50021,300.3,309.4,1705,29.4,190,0
L50022,300.3,309.3,1345,53.5,192,0
L50023,300.3,309.2,1532,40.2,194,0
L50024,300.3,309.2,1650,35.2,196,0
L50025,300.3,309.2,1398,54.4,198,0
L50026,300.3,309.2,1412,44.8,200,0
L50027,300.4,309.3,1525,39.6,202,0
L50029,300.4,309.3,1766,28.2,207,0
L50030,300.4,309.3,1671,35,209,0
L50031,300.5,309.3,1373,48.8,211,0
L50034,300.5,309.3,1470,40.8,219,0
L50035,300.5,309.3,1528,37,221,0
L50038,300.5,309.3,1417,51.5,231,1
L50039,300.6,309.4,1549,43.4,233,0
L50041,300.7,309.5,1479,43.6,240,0
L50042,300.6,309.5,1867,23,242,0
L50043,300.6,309.4,1471,44.1,244,0
L50046,300.8,309.7,1997,20.7,5,0
L50048,300.8,309.7,1418,46.6,12,0
L50049,300.8,309.7,1519,35.8,14,0
L50052,300.8,309.6,1680,28.7,22,0
L50054,300.6,309.5,1471,49.6,29,0
L50060,300.7,309.5,1541,37.2,48,0
L50062,300.6,309.6,1684,32.8,53,0
L50063,300.6,309.5,1437,40,55,0
L50064,300.6,309.6,1409,42.4,57,0
L50070,300.6,309.7,1593,32.4,76,0
L50071,300.6,309.6,1682,30.7,78,0
L50072,300.7,309.6,1329,54.3,80,0
L50074,300.7,309.6,1733,24.8,85,0
L50079,300.6,309.4,1410,40.6,99,0
L50080,300.5,309.3,1574,33.5,101,0
L50081,300.6,309.4,1425,40.3,103,0
L50084,300.6,309.4,2496,13.5,111,0
L50085,300.6,309.4,1552,36.4,113,0
L50086,300.6,309.3,1409,38.7,115,0
L50088,300.7,309.5,1251,59.9,120,0
L50089,300.7,309.6,1500,44.1,122,0
L50090,300.6,309.5,1576,38.8,124,0
L50092,300.7,309.6,1661,30.3,129,0
L50093,300.7,309.6,1541,34.6,131,0
L50095,300.5,309.5,1255,62.1,138,0
L50096,300.6,309.6,1411,41.6,140,0
L50097,300.6,309.5,1516,39,142,0
L50099,300.6,309.6,1726,30,147,0
L50100,300.7,309.7,1598,33.7,149,0
L50101,300.8,309.8,1657,31.1,151,0
L50102,300.8,309.7,1481,38.1,153,0
L50104,300.8,309.7,1461,44.3,158,0
L50106,300.7,309.7,1507,52.4,163,0
L50111,300.8,309.7,1373,45.4,179,0
L50112,300.9,309.7,1460,42.1,181,0
L50117,300.7,309.6,1810,26,195,0
L50118,300.7,309.5,1479,34.5,197,0
L50119,300.9,309.7,1431,41.4,199,0
L50120,300.9,309.7,2355,14.4,201,0
L50122,300.7,309.5,1461,49.9,0,0
L50124,300.7,309.6,1505,34.9,7,0
L50127,300.7,309.5,1592,29,17,0
L50128,300.7,309.5,1850,24.5,19,0
L50131,300.7,309.5,1685,31.1,27,0
L50133,300.7,309.5,1578,35.4,34,0
L50137,300.8,309.6,1498,45.8,47,0
L50140,300.7,309.5,1467,44.3,55,0
L50141,300.6,309.4,1654,32.8,57,0
L50142,300.7,309.5,1508,39.9,59,0
L50144,300.7,309.5,1692,30.3,64,0
L50146,300.6,309.3,1601,40.2,69,0
L50147,300.6,309.4,1369,51.6,71,0
L50149,300.6,309.4,1468,44.1,76,0
L50157,300.4,309.3,1413,50.3,101,0
L50159,300.5,309.5,1542,38.5,108,0
L50160,300.4,309.5,1447,39.3,110,0
L50162,300.5,309.5,1795,27.7,117,0
L50163,300.6,309.6,1290,57.4,119,0
L50164,300.6,309.7,1639,30.4,121,0
L50165,300.7,309.8,1596,31.5,123,0
L50166,300.6,309.8,1455,48,125,0
L50169,300.6,309.8,1502,42.4,133,0
L50170,300.6,309.8,1688,28.6,135,0
L50174,300.5,309.8,1461,52.5,146,0
L50175,300.5,309.8,1550,37.4,148,0
L50177,300.5,309.8,1345,62.7,153,0
L50178,300.5,309.7,1616,34.5,155,0
L50179,300.5,309.7,1395,61,157,0
L50181,300.5,309.8,1445,43.9,164,0
L50185,300.5,309.9,1503,37.4,175,0
L50186,300.4,309.7,1488,35.7,177,0
L50187,300.4,309.7,1314,50.2,179,0
L50190,300.3,309.6,1537,37.1,187,0
L50192,300.4,309.6,1432,44.7,192,0
L50193,300.5,309.6,1390,48.4,194,0
L50194,300.5,309.7,1580,42.8,196,0
L50195,300.5,309.7,1589,30.5,198,0
L50196,300.5,309.8,1441,48.8,200,0
L50197,300.5,309.8,1305,51.7,202,0
L50199,300.5,309.8,1379,54.2,207,1
L50200,300.4,309.6,1543,38.1,209,0
L50201,300.5,309.8,1421,49.6,211,0
L50202,300.5,309.6,1760,30.6,213,0
L50203,300.4,309.5,1711,29.2,215,0
L50204,300.5,309.6,1465,41.6,217,0
L50205,300.5,309.6,1366,50.2,219,0
L50207,300.5,309.5,1777,23.6,0,0
L50208,300.5,309.5,1379,55.6,2,0
L50209,300.4,309.5,1525,51.3,4,0
L50216,300.4,309.6,1319,48.1,26,0
L50217,300.5,309.7,1887,24.3,28,0
L50218,300.4,309.5,1349,50.4,30,0
L50220,300.3,309.5,1474,38.7,35,0
L50221,300.4,309.5,1543,38.9,37,0
L50223,300.3,309.5,1551,37.9,42,0
L50224,300.2,309.4,1981,21.4,44,0
L50225,300.2,309.4,1526,35.3,46,0
L50227,300.2,309.4,1558,38.3,51,0
L50228,300.2,309.3,1532,43.2,53,0
L50229,300.1,309.2,1326,55.9,55,0
L50230,300.2,309.2,1431,51.3,57,0
L50231,300.2,309.3,1366,49.3,59,0
L50232,300.1,309.2,1421,42.5,61,0
L50235,300.1,309.2,1427,37.6,73,0
L50236,300.2,309.2,1667,29.9,75,0
L50237,300.1,309.1,1400,46.7,77,0
L50238,300,309,1709,32.1,79,0
L50240,300,309.1,1882,23.8,84,0
L50241,300.1,309.1,1353,58.7,86,0
L50242,299.9,309,1553,40,88,0
L50243,300,309.1,1431,45.4,90,0
L50247,300.1,309.2,1533,37,101,0
L50249,300,309.1,1791,28.2,108,0
L50250,300,309.1,1631,28.3,110,0
L50251,300,309,2174,16.9,112,0
L50252,300.1,309,1314,58.2,114,0
L50253,300.1,309.1,1478,46.9,116,0
L50254,300.1,309.2,1783,27.3,118,0
L50256,300,309.2,1444,43.6,123,0
L50257,300.1,309.3,1841,23,125,0
L50259,300.1,309.3,1340,56,130,0
L50263,300.1,309.3,1712,28.5,141,0
L50265,300.1,309.2,1441,42.9,148,0
L50266,300,309.2,1610,32.1,150,0
L50271,300,309.3,1558,29.7,168,0
L50273,300,309.3,1397,51.2,173,0
L50274,300,309.3,1972,22,175,0
L50276,299.9,309.2,1560,38.9,180,0
L50280,299.8,309.1,1578,42.1,191,0
L50282,299.9,309.1,1412,48.3,198,0
L50283,299.8,309.1,1668,30.3,200,0
L50285,299.8,309.1,1612,35.4,205,0
L50286,299.8,309.1,1485,39.9,207,0
L50288,299.8,309.2,1504,38.7,212,0
L50289,299.9,309.2,1491,44.3,214,0
L50291,300,309.2,1759,27.9,5,0
L50295,299.9,309.2,1658,34.8,16,0
L50296,300,309.2,1566,34.4,18,0
L50299,300.1,309.4,1858,23.6,26,0
L50301,300.1,309.4,2141,17.9,33,0
L50302,300,309.3,1473,46,35,0
L50304,300.1,309.4,1568,39.7,42,0
L50305,300.1,309.4,1694,27.4,44,0
L50306,300,309.4,1499,35.7,46,0
L50307,300,309.5,1717,28.3,48,0
L50309,300.1,309.6,1642,34.5,53,0
L50310,300.1,309.6,1760,25.4,55,0
L50311,300.1,309.5,1660,32.7,57,0
L50312,300.1,309.5,1557,40.6,59,0
L50314,300.2,309.6,1359,51.5,66,0
L50315,300.4,309.8,1342,52.5,68,0
L50316,300.4,309.9,1435,54.8,70,0
L50317,300.4,309.9,1567,36.5,72,0
L50318,300.4,309.9,1376,43.5,74,0
L50321,300.5,310,1521,45.1,86,0
L50322,300.6,310,1658,34.7,88,0
L50330,300.4,309.8,1513,32.9,117,0
L50331,300.5,309.8,1428,43.8,119,0
L50334,300.4,309.7,1534,42.5,127,0
L50335,300.5,309.8,1367,54,129,0
L50336,300.4,309.7,1467,36.9,131,0
L50338,300.4,309.7,1679,30.1,136,0
L50341,300.4,309.8,1314,63.1,146,0
L50342,300.5,309.9,1480,40,148,0
L50343,300.4,309.8,1549,38.9,150,0
L50344,300.4,309.7,1685,31.3,152,0
L50345,300.4,309.6,1536,34.5,154,0
L50347,300.4,309.7,1384,45.1,159,0
L50351,300.4,309.6,1386,56.9,170,0
L50353,300.3,309.6,1624,32.6,175,0
L50354,300.3,309.6,1600,34.6,177,0
L50355,300.3,309.6,1468,44.7,179,0
L50356,300.3,309.6,1435,45.4,181,0
L50359,300.1,309.3,1570,36.8,189,0
L50361,300.2,309.4,1527,37,194,0
L50363,300.1,309.3,1616,32,199,0
L50364,300.1,309.3,1654,31,201,0
L50365,300.1,309.3,1685,27.1,203,0
L50369,300.1,309.1,1551,33.7,214,0
L50370,300.1,309.2,1599,30.1,216,0
L50373,300,309.1,1401,44.5,0,0
L50374,300,309,1454,51.7,2,0
L50376,300,309.1,1489,40.3,7,0
L50377,300,309.1,1465,40.6,9,0
L50381,300.2,309.1,1479,47,22,0
L50382,300.2,309.2,1430,43.4,24,0
L50384,300.1,309,1404,54.8,29,0
L50389,300.3,309.2,1587,31.4,43,0
L50391,300.3,309.2,1462,51.4,48,0
L50392,300.3,309.2,1649,32.4,50,0
L50393,300.4,309.2,1752,29,52,0
L50396,300.5,309.5,1653,27.6,62,0
L50397,300.6,309.5,2025,21.4,64,0
L50398,300.6,309.6,1426,53.6,66,0
L50401,300.6,309.6,1423,49.1,74,0
L50405,300.6,309.4,1474,40.7,87,0
L50406,300.5,309.3,1465,46,89,0
L50408,300.5,309.3,1475,46.8,94,0
L50409,300.6,309.4,1442,43.2,96,0
L50410,300.6,309.4,1556,36,98,0
L50411,300.7,309.3,1425,45.3,100,0
L50412,300.7,309.3,1580,38.3,102,0
L50414,300.8,309.4,1489,38.4,109,0
L50415,300.8,309.4,1946,20.5,111,0
L50419,301,309.5,1430,48.5,122,0
L50420,300.9,309.5,1612,35.2,124,0
L50422,300.9,309.6,1384,42.4,131,0
L50423,301,309.6,1724,28.1,133,0
L50426,301,309.7,1468,42,141,0
L50429,301.1,309.8,1493,38.9,149,0
L50431,301.1,309.6,1501,36.1,156,0
L50432,301.1,309.7,1668,30.8,158,0
L50433,301.1,309.6,1502,48.9,160,0
L50435,301,309.7,1491,42.9,165,0
L50436,301.1,309.8,1519,39.6,167,0
L50437,301.2,309.9,1984,19.7,169,0
L50438,301.2,309.9,1643,32.9,171,0
L50442,301.3,310.1,1558,36.3,184,0
L50443,301.3,310,1344,54.8,186,0
L50445,301.3,310.1,1355,53.6,193,0
L50446,301.3,310.1,1269,56.8,195,1
L50447,301.3,310,1550,41.5,197,0
L50450,301.4,310.1,1937,21.8,205,0
L50454,301.3,310,1665,31.4,0,0
L50456,301.3,310,1438,40.9,7,0
L50457,301.3,310.1,1531,41.6,9,0
L50458,301.3,310,1506,40.8,11,0
L50459,301.2,309.9,1382,52.4,13,0
L50462,301.2,309.9,1515,40.9,21,0
L50463,301.2,309.9,1449,45.5,23,0
L50465,301.2,309.9,1687,29.7,30,0
L50466,301.2,310,1618,37.6,32,0
L50468,301.3,310.1,1662,31,37,0
L50470,301.2,310.2,1385,42.3,42,0
L50472,301.3,310.3,1400,44.3,47,0
L50474,301.1,310.2,1657,34.1,52,0
L50475,301.1,310.2,1496,43.4,54,0
L50477,301.2,310.3,1548,38.6,59,0
L50478,301.2,310.3,1499,38.1,61,0
L50479,301.3,310.5,1390,45.8,63,0
L50481,301.3,310.5,1365,47.7,70,0
L50482,301.3,310.5,1503,48.6,72,0
L50483,301.2,310.4,1390,49.9,74,0
L50484,301.2,310.3,1497,45.7,76,0
L50486,301.4,310.5,1432,54.3,81,0
L50488,301.4,310.4,1433,43.4,86,0
L50489,301.3,310.4,1384,50.1,88,0
L50490,301.3,310.4,1346,46.7,90,0
L50491,301.3,310.4,1459,44.7,92,0
L50492,301.4,310.4,1639,28.9,94,0
L50493,301.4,310.4,1737,31.9,96,0
L50494,301.4,310.5,1489,43.5,98,0
L50497,301.5,310.5,1636,28.7,106,0
L50498,301.4,310.4,1436,49.7,108,0
L50499,301.4,310.4,1689,30.6,110,0
L50500,301.5,310.5,2289,16.4,112,0
L50501,301.5,310.6,1522,41,114,0
L50502,301.5,310.5,1351,52.9,116,0
L50503,301.5,310.5,1589,36.7,118,0
L50504,301.5,310.6,1578,34.1,120,0
L50505,301.5,310.6,1587,33.7,122,0
L50506,301.5,310.6,1962,20.2,124,0
L50508,301.6,310.6,1418,43.9,129,0
L50509,301.6,310.7,1683,29.7,131,0
L50510,301.7,310.8,1385,50.7,133,0
L50511,301.7,310.8,1559,44.5,135,0
L50515,301.7,310.9,1705,31.2,146,0
L50516,301.6,310.8,1535,35.4,148,0
L50517,301.6,310.8,1564,34.1,150,0
L50519,301.6,310.9,1492,45.2,155,0
L50522,301.5,310.8,1382,52.4,165,0
L50524,301.4,310.7,1706,27.9,170,0
L50525,301.3,310.7,1594,34.1,172,0
L50526,301.3,310.7,1761,24.3,174,0
L50527,301.3,310.6,1529,41.8,176,0
L50529,301.4,310.7,1673,27.8,181,0
L50530,301.4,310.8,1285,62.6,183,1
L50531,301.4,310.8,1680,31.4,185,0
L50532,301.4,310.8,1610,34.6,187,0
L50533,301.6,310.9,1632,31.6,189,0
L50534,301.6,310.9,1559,40.2,191,0
L50535,301.5,310.8,1367,49,193,0
L50536,301.6,310.8,1355,57.8,195,1
L50538,301.5,310.6,1522,36.6,202,0
L50539,301.5,310.6,1525,41.9,204,0
L50540,301.5,310.6,1394,46.5,206,0
L50541,301.5,310.6,1519,40.7,208,0
L50542,301.4,310.6,1445,43.9,210,0
L50543,301.4,310.6,1555,43.3,212,0
L50544,301.4,310.5,1633,39.5,0,0
L50548,301.5,310.8,1350,58.5,13,0
L50549,301.5,310.9,2760,8,15,1
L50550,301.4,310.7,1584,32.2,17,0
L50551,301.4,310.7,1989,21.8,19,0
L50552,301.4,310.8,1431,44.3,21,0
L50553,301.4,310.7,1568,35.2,23,0
L50554,301.4,310.7,1376,50.6,25,0
L50558,301.5,310.7,1568,33.1,38,0
L50560,301.4,310.7,1590,36.3,43,0
L50561,301.3,310.6,1376,47.6,45,0
L50562,301.3,310.6,1510,38.5,47,0
L50564,301.3,310.6,1426,40.7,54,0
L50565,301.5,310.7,1466,43.6,56,0
L50571,301.5,310.7,1466,47.3,77,0
L50572,301.5,310.7,1408,47.3,79,0
L50573,301.5,310.6,1490,48.1,81,0
L50574,301.5,310.6,1405,42.3,83,0
L50575,301.4,310.5,1647,33.3,85,0
L50577,301.4,310.6,1648,30.7,90,0
L50578,301.4,310.7,1675,30.7,92,0
L50579,301.4,310.7,1605,34.2,94,0
L50582,301.4,310.6,1347,53.3,104,0
L50583,301.3,310.5,1337,52.7,106,0
L50584,301.3,310.4,1695,30.9,108,0
L50586,301.2,310.4,1470,44,113,0
L50587,301.2,310.4,1381,49.8,115,0
L50590,301.2,310.3,1451,39.7,123,0
L50591,301.3,310.3,1419,55.7,125,0
L50592,301.3,310.3,1313,55.6,127,0
L50593,301.3,310.3,1560,36.3,129,0
L50594,301.3,310.3,1555,41.2,131,0
L50595,301.4,310.4,1579,36.9,133,0
L50596,301.5,310.5,1435,44.6,135,0
L50597,301.6,310.6,1621,33.7,137,0
L50599,301.5,310.5,1611,33.8,144,0
L50600,301.6,310.6,1834,23.5,146,0
L50602,301.5,310.4,1629,34.1,151,0
L50603,301.4,310.4,1496,35.2,153,0
L50604,301.5,310.5,1593,32.9,155,0
L50606,301.5,310.5,1380,48.7,160,0
L50607,301.6,310.6,1562,34.4,162,0
L50608,301.6,310.6,1391,49.4,164,0
L50611,301.6,310.7,1429,43.6,176,0
L50615,301.5,310.5,1389,54.9,187,0
L50616,301.5,310.5,1466,48.1,189,0
L50617,301.5,310.5,2297,15.8,191,0
L50618,301.4,310.4,1471,37.5,193,0
L50619,301.4,310.3,1492,41.4,195,0
L50620,301.3,310.3,1460,41.5,197,0
L50621,301.4,310.4,1559,39.4,199,0
L50623,301.5,310.5,1535,39,204,0
L50624,301.5,310.6,1381,50.7,206,0
L50627,301.7,310.6,1624,34.5,216,0
L50628,301.6,310.6,1478,36.6,218,0
L50629,301.7,310.7,1605,33.3,220,0
L50630,301.6,310.6,1506,43.4,222,0
L50631,301.6,310.6,1455,43.9,0,0
L50633,301.5,310.4,1425,54.4,7,0
L50634,301.5,310.4,1918,21.8,9,0
L50638,301.5,310.4,1329,46.6,24,0
L50639,301.5,310.4,1270,54.2,26,0
L50640,301.5,310.3,1415,41.6,28,0
L50643,301.6,310.5,1809,25.5,40,0
L50644,301.7,310.6,1303,59.7,42,0
L50646,301.7,310.6,1447,56.9,47,0
L50647,301.8,310.7,1461,44.2,49,0
L50648,301.8,310.7,2092,18.6,51,0
L50650,301.8,310.8,1736,26.5,56,0
L50651,301.8,310.7,1441,49.3,58,0
L50652,301.8,310.7,1523,43.3,60,0
L50655,301.8,310.7,1644,33.4,68,0
L50656,301.8,310.6,1522,43.8,70,0
L50657,301.8,310.7,1547,41.7,72,0
L50658,301.8,310.7,1597,30.8,74,0
L50660,301.9,310.8,1400,58.2,79,0
L50661,302,310.9,1663,31.5,81,0
L50662,301.9,310.8,1540,37.6,83,0
L50664,301.9,310.8,1519,39,90,0
L50665,301.9,310.8,1427,47.7,92,0
L50666,301.9,310.8,1650,29.8,94,0
L50668,301.9,310.9,1379,54.8,99,0
L50669,301.9,310.9,1542,36.7,101,0
L50674,301.9,311,1356,45.7,119,0
L50676,301.9,310.9,1309,48,124,0
L50677,301.9,311,1642,33.1,126,0
L50678,301.9,311,1289,54.9,128,0
L50679,301.9,311,1353,43.8,130,0
L50683,301.7,310.8,1493,47.6,145,0
L50685,301.6,310.8,1726,26.7,150,0
L50688,301.7,310.9,1608,33,160,0
L50689,301.8,311,1771,27.2,162,0
